problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,ses_name,proj_name
Problem 1,B,B35,179,3,1,1,0,2,1,0,1,0,0:08:04,Problem 1,experiment
Problem 2,E,B35,57,2,1,0,0,1,0,1,0,0,0:04:07,Problem 2,experiment
Problem 3,B,B35,322,7,1,2,0,2,3,2,1,0,0:10:48,Problem 3,experiment
Problem 4,C,B35,159,15,1,7,1,9,3,3,1,0,0:11:12,Problem 4,experiment
Problem 5,B,B35,87,6,1,5,0,6,0,0,1,0,0:03:55,Problem 5,experiment
Problem 1,E,B36,16,1,1,0,0,0,1,0,1,0,0:01:25,Problem 1,experiment
Problem 2,E,B36,21,1,1,0,0,0,1,0,0,0,0:01:34,Problem 2,experiment
Problem 3,B,B36,136,7,1,3,0,7,0,0,0,0,0:06:54,Problem 3,experiment
Problem 4,B,B36,59,4,1,3,0,4,0,0,0,0,0:02:41,Problem 4,experiment
Problem 5,C,B36,48,7,1,3,1,7,0,0,0,0,0:02:42,Problem 5 (2),experiment
Problem 1,E,B37,68,6,1,0,0,2,7,2,1,0,0:07:54,Problem1,experiment
Problem 2,E,B37,84,2,1,0,0,1,0,1,0,0,0:05:56,Problem2,experiment
Problem 3,E,B37,28,1,1,0,0,1,0,0,0,0,0:00:50,Problem3,experiment
Problem 4,E,B37,51,1,1,0,0,1,0,0,0,0,0:02:03,Problem4,experiment
Problem 5,E,B37,48,1,1,0,0,1,0,0,0,0,0:02:13,Problem5,experiment
Problem 1,E,B39,162,3,1,0,0,1,2,0,1,0,0:07:39,Problem 1,experiment
Problem 2,E,B39,75,5,1,0,0,0,4,1,0,0,0:04:23,Probelm 2,experiment
Problem 3,E,B39,13,1,1,0,0,0,1,0,0,0,0:02:07,Problem 3,experiment
Problem 4,E,B39,284,6,1,0,0,4,1,1,0,0,0:12:34,Problem 4,experiment
Problem 5,E,B39,37,1,1,0,0,1,0,0,1,0,0:02:56,Problem 5,experiment
Problem 1,E,B40,38,2,1,0,0,1,0,1,1,0,0:02:43,Problem 1,experiment
Problem 2,E,B40,58,3,1,0,0,1,2,0,1,0,0:03:08,Problem 2,experiment
Problem 3,C,B40,13,2,1,0,1,1,0,1,1,0,0:05:47,Problem 3,experiment
Problem 4,B,B40,203,12,1,8,0,12,1,1,1,0,0:18:38,Problem 4,experiment
Problem 5,E,B40,22,1,2,0,0,1,0,0,1,0,0:00:34,Problem 5,experiment
Problem 1,E,B41,21,2,1,0,0,3,0,1,1,0,0:01:29,Problem 1,experiment
Problem 2,E,B41,53,2,1,0,0,1,0,1,1,0,0:02:08,Problem 2,experiment
Problem 3,B,B41,93,5,2,3,0,4,0,1,0,0,0:01:12,Problem 3,experiment
Problem 4,E,B41,150,12,2,0,0,9,11,2,1,0,0:30:29,Problem 4,experiment
Problem 5,D,B41,62,6,4,3,1,5,1,1,1,6,0:01:08,Problem 5,experiment
Problem 1,E,B42,49,3,1,0,0,0,2,1,1,0,0:01:40,Problem 1,Experiment
Problem 2,E,B42,40,2,1,0,0,1,2,0,1,0,0:01:38,Problem 2,Experiment
Problem 3,E,B42,48,1,1,0,0,1,0,0,1,0,0:02:06,Problem 3,Experiment
Problem 4,C,B42,159,3,2,0,1,2,0,3,1,0,0:07:21,Problem 4,Experiment
Problem 5,C,B42,30,2,1,0,1,1,1,0,1,0,0:02:00,Problem 5,Experiment
Problem 1,E,B43,27,3,1,0,0,1,1,1,1,0,0:01:17,problem 1,experiment
Problem 2,E,B43,49,4,1,0,0,1,3,0,1,0,0:07:07,Problem 2,experiment
Problem 3,E,B43,33,1,1,0,0,1,0,0,1,0,0:02:27,Problem 3,experiment
Problem 4,E,B43,153,5,4,0,0,4,1,0,1,0,0:08:15,Problem 4,experiment
Problem 5,E,B43,44,4,1,0,0,4,0,0,0,0,0:01:57,Problem 5,experiment
Problem 1,E,B44,37,3,1,0,0,1,2,1,1,0,0:05:49,problem 1,experiment
Problem 2,E,B44,25,2,1,0,0,1,0,1,1,0,0:02:52,problem 2,experiment
Problem 3,E,B44,36,6,1,0,0,5,0,1,0,0,0:02:33,problem3,experiment
Problem 4,E,B44,96,8,1,0,0,6,1,1,0,0,0:05:48,problem 4,experiment
Problem 5,E,B44,67,7,1,0,0,5,0,2,0,0,0:02:46,problem 5,experiment
Problem 1,B,B45,294,9,1,2,0,3,4,2,1,0,0:10:39,Problem 1,experiment
Problem 2,E,B45,149,5,1,0,0,2,1,2,0,0,0:07:07,Problem 2,experiment
Problem 3,E,B45,623,4,1,0,0,1,2,1,1,0,0:13:44,Problem 3,experiment
Problem 4,E,B45,28,4,1,0,0,3,1,0,0,0,0:02:24,Problem 4,experiment
Problem 5,E,B45,17,1,1,0,0,1,0,0,1,0,0:01:00,Problem 5,experiment
Problem 1,E,B46,66,2,1,0,0,0,2,0,1,0,0:01:49,problem 1,experiment
Problem 2,E,B46,61,4,1,0,0,1,2,2,1,0,0:02:57,problem 2,experiment
Problem 3,E,B46,51,5,1,0,0,4,1,0,1,0,0:03:23,problem 3,experiment
Problem 4,E,B46,159,2,1,0,0,1,0,1,1,0,0:05:42,problem 4,experiment
Problem 5,E,B46,82,6,1,0,0,4,0,3,1,0,0:06:25,problem 5,experiment
Problem 1,E,B48,155,3,1,0,0,3,3,1,1,0,0:05:40,Problem 1,experiment
Problem 2,E,B48,351,4,1,0,0,2,4,1,1,0,0:09:23,Problem 2,experiment
Problem 3,C,B48,159,5,2,0,1,8,4,1,1,0,0:01:39,Problem 3,experiment
Problem 4,E,B48,83,1,1,0,0,5,0,0,0,0,0:11:32,Problem 4,experiment
Problem 5,E,B48,90,1,3,0,0,5,0,0,0,0,0:02:12,Problem 5,experiment
Problem 1,E,B49,43,4,1,0,0,1,2,1,1,0,0:03:19,Problem 1,experiment
Problem 2,E,B49,40,2,1,0,0,1,1,0,0,0,0:02:44,Problem 2,experiment
Problem 3,B,B49,25,2,1,1,0,2,0,0,1,0,0:03:58,Problem 3,experiment
Problem 4,C,B49,47,7,1,6,1,7,0,0,0,0,0:05:42,4,experiment
Problem 5,B,B49,40,6,1,5,0,6,0,0,0,0,0:02:36,Problem 5,experiment
